index,prediction
0,112.82542539267016
1,112.82542539267016
2,112.82542539267016
3,112.82542539267016
4,112.82542539267016
5,112.82542539267016
6,112.82542539267016
7,112.82542539267016
8,112.82542539267016
9,112.82542539267016
10,112.82542539267016
11,112.82542539267016
12,112.82542539267016
13,112.82542539267016
14,112.82542539267016
15,112.82542539267016
16,112.82542539267016
17,112.82542539267016
18,112.82542539267016
19,112.82542539267016
20,112.82542539267016
21,112.82542539267016
22,112.82542539267016
23,112.82542539267016
24,112.82542539267016
25,112.82542539267016
26,112.82542539267016
27,112.82542539267016
28,112.82542539267016
29,112.82542539267016
30,112.82542539267016
31,112.82542539267016
32,112.82542539267016
33,112.82542539267016
34,112.82542539267016
35,112.82542539267016
36,112.82542539267016
37,112.82542539267016
38,112.82542539267016
39,112.82542539267016
40,112.82542539267016
41,112.82542539267016
42,112.82542539267016
43,112.82542539267016
44,112.82542539267016
45,112.82542539267016
46,112.82542539267016
47,112.82542539267016
48,112.82542539267016
49,112.82542539267016
50,112.82542539267016
51,112.82542539267016
52,112.82542539267016
53,112.82542539267016
54,112.82542539267016
55,112.82542539267016
56,112.82542539267016
57,112.82542539267016
58,112.82542539267016
59,112.82542539267016
60,112.82542539267016
61,112.82542539267016
62,112.82542539267016
63,112.82542539267016
64,112.82542539267016
65,112.82542539267016
66,112.82542539267016
67,112.82542539267016
68,112.82542539267016
69,112.82542539267016
70,112.82542539267016
71,112.82542539267016
72,112.82542539267016
73,112.82542539267016
74,112.82542539267016
75,112.82542539267016
76,112.82542539267016
77,112.82542539267016
78,112.82542539267016
79,112.82542539267016
80,112.82542539267016
81,112.82542539267016
82,112.82542539267016
83,112.82542539267016
84,112.82542539267016
85,112.82542539267016
86,112.82542539267016
87,112.82542539267016
88,112.82542539267016
89,112.82542539267016
90,112.82542539267016
91,112.82542539267016
92,112.82542539267016
93,112.82542539267016
94,112.82542539267016
95,112.82542539267016
96,112.82542539267016
97,112.82542539267016
98,112.82542539267016
99,112.82542539267016
100,112.82542539267016
101,112.82542539267016
102,112.82542539267016
103,112.82542539267016
104,112.82542539267016
105,112.82542539267016
106,112.82542539267016
107,112.82542539267016
108,112.82542539267016
109,112.82542539267016
110,112.82542539267016
111,112.82542539267016
112,112.82542539267016
113,112.82542539267016
114,112.82542539267016
115,112.82542539267016
116,112.82542539267016
117,112.82542539267016
118,112.82542539267016
119,112.82542539267016
120,112.82542539267016
121,112.82542539267016
122,112.82542539267016
123,112.82542539267016
124,112.82542539267016
125,112.82542539267016
126,112.82542539267016
127,112.82542539267016
128,112.82542539267016
129,112.82542539267016
130,112.82542539267016
131,112.82542539267016
132,112.82542539267016
133,112.82542539267016
134,112.82542539267016
135,112.82542539267016
136,112.82542539267016
137,112.82542539267016
138,112.82542539267016
139,112.82542539267016
140,112.82542539267016
141,112.82542539267016
142,112.82542539267016
143,112.82542539267016
144,112.82542539267016
145,112.82542539267016
146,112.82542539267016
147,112.82542539267016
148,112.82542539267016
149,112.82542539267016
150,112.82542539267016
151,112.82542539267016
152,112.82542539267016
153,112.82542539267016
154,112.82542539267016
155,112.82542539267016
156,112.82542539267016
157,112.82542539267016
158,112.82542539267016
159,112.82542539267016
160,112.82542539267016
161,112.82542539267016
162,112.82542539267016
163,112.82542539267016
164,112.82542539267016
165,112.82542539267016
166,112.82542539267016
167,112.82542539267016
168,112.82542539267016
169,112.82542539267016
170,112.82542539267016
171,112.82542539267016
172,112.82542539267016
173,112.82542539267016
174,112.82542539267016
175,112.82542539267016
176,112.82542539267016
177,112.82542539267016
178,112.82542539267016
179,112.82542539267016
180,112.82542539267016
181,112.82542539267016
182,112.82542539267016
183,112.82542539267016
184,112.82542539267016
185,112.82542539267016
186,112.82542539267016
187,112.82542539267016
188,112.82542539267016
189,112.82542539267016
190,112.82542539267016
191,112.82542539267016
192,112.82542539267016
193,112.82542539267016
194,112.82542539267016
195,112.82542539267016
196,112.82542539267016
197,112.82542539267016
198,112.82542539267016
199,112.82542539267016
200,112.82542539267016
201,112.82542539267016
202,112.82542539267016
203,112.82542539267016
204,112.82542539267016
205,112.82542539267016
206,112.82542539267016
207,112.82542539267016
208,112.82542539267016
209,112.82542539267016
210,112.82542539267016
211,112.82542539267016
212,112.82542539267016
213,112.82542539267016
214,112.82542539267016
215,112.82542539267016
216,112.82542539267016
217,112.82542539267016
218,112.82542539267016
219,112.82542539267016
220,112.82542539267016
221,112.82542539267016
222,112.82542539267016
223,112.82542539267016
224,112.82542539267016
